"id","choiceset","choice","quality_1","quality_2","quality_3","angling_1","angling_2","angling_3","access_1","access_2","access_3","surround_1","surround_2","surround_3","price_1","price_2","price_3","age","house_inc"
1,1,3,3,2,1,0,1,1,0,0,1,0,1,1,0,650,200,31,6
1,2,2,3,3,3,0,0,1,0,0,0,0,1,0,0,200,1200,31,6
1,3,2,3,1,2,0,1,1,0,1,1,0,1,0,0,200,400,31,6
1,4,2,3,1,3,0,0,1,0,0,0,0,0,1,0,1200,75,31,6
1,5,2,3,2,3,0,1,1,0,1,0,0,1,1,0,1200,650,31,6
1,6,3,3,2,1,0,0,0,0,0,1,0,1,1,0,400,75,31,6
1,7,2,3,1,3,0,0,0,0,0,1,0,0,0,0,650,650,31,6
1,8,2,3,1,2,0,0,0,0,0,0,0,0,0,0,900,1200,31,6
1,9,3,3,3,2,0,1,0,0,1,0,0,0,1,0,400,900,31,6
1,10,3,3,3,1,0,1,1,0,1,1,0,0,0,0,75,900,31,6
3,1,1,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,31,5
3,2,1,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,31,5
3,3,1,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,31,5
3,4,1,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,31,5
3,5,1,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,31,5
3,6,1,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,31,5
3,7,1,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,31,5
3,8,1,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,31,5
3,9,1,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,31,5
3,10,1,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,31,5
4,1,1,3,1,2,0,1,1,0,1,1,0,1,1,0,650,1200,29,3
4,2,1,3,2,3,0,1,0,0,1,0,0,0,1,0,75,1200,29,3
4,3,1,3,2,1,0,0,1,0,1,0,0,0,0,0,200,200,29,3
4,4,1,3,2,2,0,0,0,0,0,1,0,1,0,0,75,75,29,3
4,5,1,3,3,1,0,1,0,0,0,1,0,0,1,0,900,650,29,3
4,6,1,3,3,2,0,0,1,0,1,0,0,0,1,0,1200,200,29,3
4,7,1,3,1,1,0,0,1,0,0,0,0,0,1,0,650,900,29,3
4,8,1,3,2,3,0,1,1,0,0,1,0,0,0,0,400,400,29,3
4,9,1,3,3,1,0,0,0,0,0,0,0,1,0,0,1200,400,29,3
4,10,1,3,3,3,0,1,0,0,1,1,0,1,0,0,900,75,29,3
5,1,3,3,2,1,0,1,1,0,0,1,0,1,1,0,650,200,26,3
5,2,1,3,3,3,0,0,1,0,0,0,0,1,0,0,200,1200,26,3
5,3,2,3,1,2,0,1,1,0,1,1,0,1,0,0,200,400,26,3
5,4,3,3,1,3,0,0,1,0,0,0,0,0,1,0,1200,75,26,3
5,5,1,3,2,3,0,1,1,0,1,0,0,1,1,0,1200,650,26,3
5,6,3,3,2,1,0,0,0,0,0,1,0,1,1,0,400,75,26,3
5,7,1,3,1,3,0,0,0,0,0,1,0,0,0,0,650,650,26,3
5,8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,900,1200,26,3
5,9,1,3,3,2,0,1,0,0,1,0,0,0,1,0,400,900,26,3
5,10,2,3,3,1,0,1,1,0,1,1,0,0,0,0,75,900,26,3
6,1,1,3,2,1,0,1,1,0,0,1,0,1,1,0,650,200,26,4
6,2,1,3,3,3,0,0,1,0,0,0,0,1,0,0,200,1200,26,4
6,3,1,3,1,2,0,1,1,0,1,1,0,1,0,0,200,400,26,4
6,4,1,3,1,3,0,0,1,0,0,0,0,0,1,0,1200,75,26,4
6,5,1,3,2,3,0,1,1,0,1,0,0,1,1,0,1200,650,26,4
6,6,1,3,2,1,0,0,0,0,0,1,0,1,1,0,400,75,26,4
6,7,1,3,1,3,0,0,0,0,0,1,0,0,0,0,650,650,26,4
6,8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,900,1200,26,4
6,9,1,3,3,2,0,1,0,0,1,0,0,0,1,0,400,900,26,4
6,10,1,3,3,1,0,1,1,0,1,1,0,0,0,0,75,900,26,4
8,1,2,3,2,1,0,1,1,0,0,1,0,1,1,0,650,200,48,6
8,2,3,3,3,3,0,0,1,0,0,0,0,1,0,0,200,1200,48,6
8,3,3,3,1,2,0,1,1,0,1,1,0,1,0,0,200,400,48,6
8,4,3,3,1,3,0,0,1,0,0,0,0,0,1,0,1200,75,48,6
8,5,2,3,2,3,0,1,1,0,1,0,0,1,1,0,1200,650,48,6
8,6,2,3,2,1,0,0,0,0,0,1,0,1,1,0,400,75,48,6
8,7,2,3,1,3,0,0,0,0,0,1,0,0,0,0,650,650,48,6
8,8,2,3,1,2,0,0,0,0,0,0,0,0,0,0,900,1200,48,6
8,9,2,3,3,2,0,1,0,0,1,0,0,0,1,0,400,900,48,6
8,10,2,3,3,1,0,1,1,0,1,1,0,0,0,0,75,900,48,6
9,1,2,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,28,1
9,2,3,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,28,1
9,3,2,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,28,1
9,4,3,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,28,1
9,5,2,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,28,1
9,6,2,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,28,1
9,7,3,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,28,1
9,8,3,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,28,1
9,9,3,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,28,1
9,10,2,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,28,1
12,1,3,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,26,3
12,2,2,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,26,3
12,3,1,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,26,3
12,4,3,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,26,3
12,5,3,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,26,3
12,6,3,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,26,3
12,7,1,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,26,3
12,8,3,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,26,3
12,9,1,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,26,3
12,10,2,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,26,3
17,1,1,3,2,1,0,1,1,0,0,1,0,1,1,0,650,200,50,2
17,2,1,3,3,3,0,0,1,0,0,0,0,1,0,0,200,1200,50,2
17,3,1,3,1,2,0,1,1,0,1,1,0,1,0,0,200,400,50,2
17,4,1,3,1,3,0,0,1,0,0,0,0,0,1,0,1200,75,50,2
17,5,1,3,2,3,0,1,1,0,1,0,0,1,1,0,1200,650,50,2
17,6,1,3,2,1,0,0,0,0,0,1,0,1,1,0,400,75,50,2
17,7,1,3,1,3,0,0,0,0,0,1,0,0,0,0,650,650,50,2
17,8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,900,1200,50,2
17,9,1,3,3,2,0,1,0,0,1,0,0,0,1,0,400,900,50,2
17,10,1,3,3,1,0,1,1,0,1,1,0,0,0,0,75,900,50,2
20,1,3,3,1,3,0,1,1,0,1,1,0,0,0,0,1200,75,53,5
20,2,3,3,1,1,0,1,0,0,1,0,0,1,0,0,900,200,53,5
20,3,2,3,2,3,0,0,1,0,0,0,0,0,0,0,900,900,53,5
20,4,2,3,1,1,0,0,1,0,1,0,0,1,1,0,400,1200,53,5
20,5,3,3,1,2,0,1,0,0,0,0,0,0,1,0,75,400,53,5
20,6,2,3,3,1,0,0,0,0,1,1,0,0,0,0,650,1200,53,5
20,7,3,3,2,2,0,0,0,0,1,1,0,1,0,0,1200,900,53,5
20,8,2,3,2,2,0,0,0,0,1,1,0,0,1,0,200,650,53,5
20,9,2,3,3,2,0,1,1,0,0,0,0,1,0,0,400,650,53,5
20,10,3,3,3,3,0,0,1,0,0,1,0,1,1,0,75,200,53,5
22,1,3,3,1,3,0,1,1,0,1,1,0,0,0,0,1200,75,43,5
22,2,1,3,1,1,0,1,0,0,1,0,0,1,0,0,900,200,43,5
22,3,1,3,2,3,0,0,1,0,0,0,0,0,0,0,900,900,43,5
22,4,1,3,1,1,0,0,1,0,1,0,0,1,1,0,400,1200,43,5
22,5,2,3,1,2,0,1,0,0,0,0,0,0,1,0,75,400,43,5
22,6,1,3,3,1,0,0,0,0,1,1,0,0,0,0,650,1200,43,5
22,7,1,3,2,2,0,0,0,0,1,1,0,1,0,0,1200,900,43,5
22,8,2,3,2,2,0,0,0,0,1,1,0,0,1,0,200,650,43,5
22,9,1,3,3,2,0,1,1,0,0,0,0,1,0,0,400,650,43,5
22,10,1,3,3,3,0,0,1,0,0,1,0,1,1,0,75,200,43,5
23,1,2,3,1,2,0,1,1,0,1,1,0,1,1,0,650,1200,57,3
23,2,1,3,2,3,0,1,0,0,1,0,0,0,1,0,75,1200,57,3
23,3,1,3,2,1,0,0,1,0,1,0,0,0,0,0,200,200,57,3
23,4,2,3,2,2,0,0,0,0,0,1,0,1,0,0,75,75,57,3
23,5,3,3,3,1,0,1,0,0,0,1,0,0,1,0,900,650,57,3
23,6,3,3,3,2,0,0,1,0,1,0,0,0,1,0,1200,200,57,3
23,7,1,3,1,1,0,0,1,0,0,0,0,0,1,0,650,900,57,3
23,8,1,3,2,3,0,1,1,0,0,1,0,0,0,0,400,400,57,3
23,9,1,3,3,1,0,0,0,0,0,0,0,1,0,0,1200,400,57,3
23,10,1,3,3,3,0,1,0,0,1,1,0,1,0,0,900,75,57,3
25,1,3,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,64,8
25,2,2,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,64,8
25,3,1,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,64,8
25,4,3,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,64,8
25,5,2,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,64,8
25,6,2,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,64,8
25,7,3,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,64,8
25,8,3,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,64,8
25,9,3,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,64,8
25,10,2,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,64,8
28,1,3,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,61,6
28,2,2,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,61,6
28,3,2,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,61,6
28,4,3,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,61,6
28,5,3,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,61,6
28,6,2,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,61,6
28,7,3,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,61,6
28,8,3,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,61,6
28,9,3,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,61,6
28,10,2,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,61,6
32,1,1,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,35,2
32,2,2,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,35,2
32,3,1,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,35,2
32,4,3,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,35,2
32,5,3,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,35,2
32,6,1,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,35,2
32,7,1,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,35,2
32,8,3,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,35,2
32,9,1,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,35,2
32,10,2,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,35,2
35,1,3,3,2,1,0,1,1,0,0,1,0,1,1,0,650,200,66,6
35,2,2,3,3,3,0,0,1,0,0,0,0,1,0,0,200,1200,66,6
35,3,2,3,1,2,0,1,1,0,1,1,0,1,0,0,200,400,66,6
35,4,1,3,1,3,0,0,1,0,0,0,0,0,1,0,1200,75,66,6
35,5,1,3,2,3,0,1,1,0,1,0,0,1,1,0,1200,650,66,6
35,6,3,3,2,1,0,0,0,0,0,1,0,1,1,0,400,75,66,6
35,7,1,3,1,3,0,0,0,0,0,1,0,0,0,0,650,650,66,6
35,8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,900,1200,66,6
35,9,1,3,3,2,0,1,0,0,1,0,0,0,1,0,400,900,66,6
35,10,1,3,3,1,0,1,1,0,1,1,0,0,0,0,75,900,66,6
37,1,1,3,1,3,0,1,1,0,1,1,0,0,0,0,1200,75,64,5
37,2,1,3,1,1,0,1,0,0,1,0,0,1,0,0,900,200,64,5
37,3,1,3,2,3,0,0,1,0,0,0,0,0,0,0,900,900,64,5
37,4,1,3,1,1,0,0,1,0,1,0,0,1,1,0,400,1200,64,5
37,5,1,3,1,2,0,1,0,0,0,0,0,0,1,0,75,400,64,5
37,6,1,3,3,1,0,0,0,0,1,1,0,0,0,0,650,1200,64,5
37,7,1,3,2,2,0,0,0,0,1,1,0,1,0,0,1200,900,64,5
37,8,1,3,2,2,0,0,0,0,1,1,0,0,1,0,200,650,64,5
37,9,1,3,3,2,0,1,1,0,0,0,0,1,0,0,400,650,64,5
37,10,1,3,3,3,0,0,1,0,0,1,0,1,1,0,75,200,64,5
43,1,3,3,1,3,0,1,1,0,1,1,0,0,0,0,1200,75,43,11
43,2,3,3,1,1,0,1,0,0,1,0,0,1,0,0,900,200,43,11
43,3,2,3,2,3,0,0,1,0,0,0,0,0,0,0,900,900,43,11
43,4,2,3,1,1,0,0,1,0,1,0,0,1,1,0,400,1200,43,11
43,5,2,3,1,2,0,1,0,0,0,0,0,0,1,0,75,400,43,11
43,6,2,3,3,1,0,0,0,0,1,1,0,0,0,0,650,1200,43,11
43,7,3,3,2,2,0,0,0,0,1,1,0,1,0,0,1200,900,43,11
43,8,2,3,2,2,0,0,0,0,1,1,0,0,1,0,200,650,43,11
43,9,2,3,3,2,0,1,1,0,0,0,0,1,0,0,400,650,43,11
43,10,2,3,3,3,0,0,1,0,0,1,0,1,1,0,75,200,43,11
44,1,2,3,1,3,0,1,1,0,1,1,0,0,0,0,1200,75,59,7
44,2,3,3,1,1,0,1,0,0,1,0,0,1,0,0,900,200,59,7
44,3,1,3,2,3,0,0,1,0,0,0,0,0,0,0,900,900,59,7
44,4,1,3,1,1,0,0,1,0,1,0,0,1,1,0,400,1200,59,7
44,5,1,3,1,2,0,1,0,0,0,0,0,0,1,0,75,400,59,7
44,6,1,3,3,1,0,0,0,0,1,1,0,0,0,0,650,1200,59,7
44,7,1,3,2,2,0,0,0,0,1,1,0,1,0,0,1200,900,59,7
44,8,1,3,2,2,0,0,0,0,1,1,0,0,1,0,200,650,59,7
44,9,1,3,3,2,0,1,1,0,0,0,0,1,0,0,400,650,59,7
44,10,1,3,3,3,0,0,1,0,0,1,0,1,1,0,75,200,59,7
47,1,1,3,1,3,0,1,1,0,1,1,0,0,0,0,1200,75,23,2
47,2,3,3,1,1,0,1,0,0,1,0,0,1,0,0,900,200,23,2
47,3,2,3,2,3,0,0,1,0,0,0,0,0,0,0,900,900,23,2
47,4,2,3,1,1,0,0,1,0,1,0,0,1,1,0,400,1200,23,2
47,5,3,3,1,2,0,1,0,0,0,0,0,0,1,0,75,400,23,2
47,6,1,3,3,1,0,0,0,0,1,1,0,0,0,0,650,1200,23,2
47,7,3,3,2,2,0,0,0,0,1,1,0,1,0,0,1200,900,23,2
47,8,3,3,2,2,0,0,0,0,1,1,0,0,1,0,200,650,23,2
47,9,3,3,3,2,0,1,1,0,0,0,0,1,0,0,400,650,23,2
47,10,3,3,3,3,0,0,1,0,0,1,0,1,1,0,75,200,23,2
50,1,1,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,61,3
50,2,1,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,61,3
50,3,2,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,61,3
50,4,2,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,61,3
50,5,1,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,61,3
50,6,2,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,61,3
50,7,3,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,61,3
50,8,2,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,61,3
50,9,2,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,61,3
50,10,2,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,61,3
51,1,1,3,2,2,0,1,0,0,0,0,0,1,0,0,650,200,68,2
